,Company,Segment,Segment Description,text,Predicted
5244,ayala corporation,Financial Services,"Provides banking, insurance, investment and other financial services","ayala corporation Financial Services Provides banking, insurance, investment and other financial services",Not Applicable
4192,asml holding n.v.,Service & Upgrade,"Provides maintenance, upgrades, spare parts, and training services","asml holding n.v. Service & Upgrade Provides maintenance, upgrades, spare parts, and training services",Not Applicable
4755,conagra brands inc.,Snacks,"Produces branded and private label snack foods including seeds, meat snacks, nuts, popcorn, cereal bars under brands like Orville Redenbacher's, Act II, Snack Pack, Angie's BOOMCHICKAPOP","conagra brands inc. Snacks Produces branded and private label snack foods including seeds, meat snacks, nuts, popcorn, cereal bars under brands like Orville Redenbacher's, Act II, Snack Pack, Angie's BOOMCHICKAPOP",Sustainable Food & Agriculture
4247,celularity inc.,Placental Cell Therapies,"Celularity develops placental cell-based therapies for cancer, autoimmune and degenerative diseases. Key products include CYNK-001 for glioblastoma and CYNK-101 for multiple sclerosis.","celularity inc. Placental Cell Therapies Celularity develops placental cell-based therapies for cancer, autoimmune and degenerative diseases. Key products include CYNK-001 for glioblastoma and CYNK-101 for multiple sclerosis.",Not Applicable
1694,exchange income corporation,Manufacturing,"Manufactures specialized products including specialized steel wire and steel wire products through subsidiaries WesTower Communications, Stainless Fabrication, Kohler and Water Blast","exchange income corporation Manufacturing Manufactures specialized products including specialized steel wire and steel wire products through subsidiaries WesTower Communications, Stainless Fabrication, Kohler and Water Blast",Not Applicable
6001,arbutus biopharma corporation,COVID-19,Researching potential therapies for COVID-19 including RNAi and NanoParticle delivery technologies,arbutus biopharma corporation COVID-19 Researching potential therapies for COVID-19 including RNAi and NanoParticle delivery technologies,Not Applicable
3109,avalon holdings corporation,Waste Management Services,"Provides waste management services including hazardous and nonhazardous waste disposal, captive landfill management, salt water injection wells, wastewater treatment, and related environmental consulting services","avalon holdings corporation Waste Management Services Provides waste management services including hazardous and nonhazardous waste disposal, captive landfill management, salt water injection wells, wastewater treatment, and related environmental consulting services",Resource Efficiency & Waste Management
2301,konecranes plc,Port Solutions,"Provides cranes and services for container handling in ports. Offerings include ship-to-shore cranes, rubber tired gantry cranes, automated stacking cranes, and related automation and service.","konecranes plc Port Solutions Provides cranes and services for container handling in ports. Offerings include ship-to-shore cranes, rubber tired gantry cranes, automated stacking cranes, and related automation and service.",Transport Solutions
5114,pt bank cimb niaga tbk,Treasury,"Manages the bank's liquidity, funding, investments and interest rate risks","pt bank cimb niaga tbk Treasury Manages the bank's liquidity, funding, investments and interest rate risks",Not Applicable
812,the toro company,Professional,"Offers landscape maintenance and construction equipment products under the Toro and Exmark brands. Includes turf and landscape equipment, rental, specialty construction, underground construction, and irrigation products.","the toro company Professional Offers landscape maintenance and construction equipment products under the Toro and Exmark brands. Includes turf and landscape equipment, rental, specialty construction, underground construction, and irrigation products.",Water Infrastructure & Technologies
6478,halfords group plc,Retail,"Operates a chain of retail stores selling auto parts, bicycles, camping equipment and more in the UK and Ireland.","halfords group plc Retail Operates a chain of retail stores selling auto parts, bicycles, camping equipment and more in the UK and Ireland.",Transport Solutions
230,prudential plc,Europe,"Provides long-term savings and protection products in Europe, focused on Italy, France and Germany.","prudential plc Europe Provides long-term savings and protection products in Europe, focused on Italy, France and Germany.",Not Applicable
6168,greenyard nv,Flowers & Plants,"Produces and sells cut flowers, potted plants, and flower bulbs worldwide under brands like Azura and Florensis.","greenyard nv Flowers & Plants Produces and sells cut flowers, potted plants, and flower bulbs worldwide under brands like Azura and Florensis.",Sustainable Food & Agriculture
4028,materion corporation,Advanced Materials,"Provides advanced chemicals, microelectronic packaging, precious and non-precious metals, specialty ceramics, and specialty inorganic chemicals","materion corporation Advanced Materials Provides advanced chemicals, microelectronic packaging, precious and non-precious metals, specialty ceramics, and specialty inorganic chemicals",Resource Efficiency & Waste Management
6046,avid bioservices inc.,Cell Line Development,Develops and optimizes high-performance mammalian cell lines for bioproduction applications,avid bioservices inc. Cell Line Development Develops and optimizes high-performance mammalian cell lines for bioproduction applications,Not Applicable
4022,bankfinancial corporation,Wealth Management,Offers wealth management and investment services to high net worth individuals and families.,bankfinancial corporation Wealth Management Offers wealth management and investment services to high net worth individuals and families.,Not Applicable
3752,bj's wholesale club holdings inc.,Services,"Provides ancillary services like optical, travel, auto buying program, and tire installation/repair services","bj's wholesale club holdings inc. Services Provides ancillary services like optical, travel, auto buying program, and tire installation/repair services",Not Applicable
468,scorpio tankers inc.,Newbuildings,"Scorpio has new tanker vessels under construction to expand and renew its fleet, including MR, LR1 and LR2 newbuildings.","scorpio tankers inc. Newbuildings Scorpio has new tanker vessels under construction to expand and renew its fleet, including MR, LR1 and LR2 newbuildings.",Not Applicable
1056,the weir group plc,Weir Power & Industrial,"Designs and manufactures pumps, valves and hydrocyclones for power generation, industrial and engineered original equipment applications.","the weir group plc Weir Power & Industrial Designs and manufactures pumps, valves and hydrocyclones for power generation, industrial and engineered original equipment applications.",Energy Management & Efficiency
2133,stifel financial corp.,Institutional Group,"Provides equity research, fixed income sales and trading, investment banking, public finance, and syndicate services to institutions such as banks, insurance companies, pension funds, and hedge funds.","stifel financial corp. Institutional Group Provides equity research, fixed income sales and trading, investment banking, public finance, and syndicate services to institutions such as banks, insurance companies, pension funds, and hedge funds.",Not Applicable
5841,cnh industrial n.v.,Construction,"Manufactures construction equipment including excavators, wheel loaders, backhoe loaders, skid steer loaders. Brands include Case Construction and New Holland Construction.","cnh industrial n.v. Construction Manufactures construction equipment including excavators, wheel loaders, backhoe loaders, skid steer loaders. Brands include Case Construction and New Holland Construction.",Sustainable Food & Agriculture
798,barnes group inc.,Aerospace,"Provides highly engineered products, services and solutions to aerospace and other technology-driven markets","barnes group inc. Aerospace Provides highly engineered products, services and solutions to aerospace and other technology-driven markets",Energy Management & Efficiency
6541,bbx capital inc.,Real Estate,"Owns, operates and develops real estate, focusing on acquisition, ownership and management of commercial and residential real estate","bbx capital inc. Real Estate Owns, operates and develops real estate, focusing on acquisition, ownership and management of commercial and residential real estate",Not Applicable
4329,amazon.com inc.,AWS cloud computing,"Provides on-demand cloud computing platforms and APIs to individuals, companies, and governments","amazon.com inc. AWS cloud computing Provides on-demand cloud computing platforms and APIs to individuals, companies, and governments",Digital Infrastructure
6537,flagstar bancorp inc.,Mortgage Originations,"Originates residential first mortgage loans through a centralized retail lending call center, third party correspondents and municipalities, and the internet","flagstar bancorp inc. Mortgage Originations Originates residential first mortgage loans through a centralized retail lending call center, third party correspondents and municipalities, and the internet",Not Applicable
5946,porr ag,Real Estate Development,Develops and sells residential and commercial real estate projects.,porr ag Real Estate Development Develops and sells residential and commercial real estate projects.,Energy Management & Efficiency
534,netapp inc.,Cloud Data Services,"Offers public, private and hybrid cloud data services, including cloud storage, cloud data management, cloud infrastructure monitoring and analytics.","netapp inc. Cloud Data Services Offers public, private and hybrid cloud data services, including cloud storage, cloud data management, cloud infrastructure monitoring and analytics.",Digital Infrastructure
6067,designer brands inc.,Camuto Group,"Designer, sourcer and marketer of women's and men's footwear and accessories under owned and licensed brands.","designer brands inc. Camuto Group Designer, sourcer and marketer of women's and men's footwear and accessories under owned and licensed brands.",Not Applicable
5269,albioma,Thermal Biomass,Operates biomass thermal power plants that convert biomass fuels like wood into energy. Mainly located in France's overseas departments and territories.,albioma Thermal Biomass Operates biomass thermal power plants that convert biomass fuels like wood into energy. Mainly located in France's overseas departments and territories.,Alternative Energy
5469,paragon banking group plc,Idem Capital,Acquires loan portfolios from financial institutions and manages them,paragon banking group plc Idem Capital Acquires loan portfolios from financial institutions and manages them,Not Applicable
5538,ally financial inc.,Insurance,"Offers a variety of insurance products, including vehicle service contracts, guaranteed asset protection waivers, roadside assistance plans and other specialty insurance programs related to vehicles.","ally financial inc. Insurance Offers a variety of insurance products, including vehicle service contracts, guaranteed asset protection waivers, roadside assistance plans and other specialty insurance programs related to vehicles.",Not Applicable
3793,stora enso oyj,Packaging Solutions,"Manufactures fiber-based packaging materials and solutions including cartonboard, corrugated packaging, and paper bags","stora enso oyj Packaging Solutions Manufactures fiber-based packaging materials and solutions including cartonboard, corrugated packaging, and paper bags",Resource Efficiency & Waste Management
3290,bionano genomics inc.,Consumables,Sells consumables like chips and reagents used in genome mapping systems,bionano genomics inc. Consumables Sells consumables like chips and reagents used in genome mapping systems,Not Applicable
756,avery dennison corporation,Vancive Medical Technologies,"Medical pressure sensitive adhesives and materials for wound care, ostomy and surgical applications","avery dennison corporation Vancive Medical Technologies Medical pressure sensitive adhesives and materials for wound care, ostomy and surgical applications",Resource Efficiency & Waste Management
2024,california resources corporation,Oil and Gas Production,"Engages in the exploration, development, production, and marketing of oil and gas from properties located in California","california resources corporation Oil and Gas Production Engages in the exploration, development, production, and marketing of oil and gas from properties located in California",Not Applicable
2592,wincanton plc,Business Services,"Provides records management, office supplies and facilities management services.","wincanton plc Business Services Provides records management, office supplies and facilities management services.",Not Applicable
6207,aggreko plc,Power storage and control,"Provides battery storage, converters, and control systems.","aggreko plc Power storage and control Provides battery storage, converters, and control systems.",Energy Management & Efficiency
5831,pt dian swastatika sentosa tbk,Mining,Engages in coal mining activities to support power plant operations,pt dian swastatika sentosa tbk Mining Engages in coal mining activities to support power plant operations,Alternative Energy
5957,packaging corporation of america,Corrugated Packaging,"Manufactures containerboard and corrugated packaging products, used to package consumer and industrial goods","packaging corporation of america Corrugated Packaging Manufactures containerboard and corrugated packaging products, used to package consumer and industrial goods",Sustainable Food & Agriculture
4487,cadre holdings inc.,Pac specify,"Distributes specialty hardware, fasteners, and components to diversified industrial markets","cadre holdings inc. Pac specify Distributes specialty hardware, fasteners, and components to diversified industrial markets",Not Applicable
2223,first bancorp,Insurance,"Offers various insurance products, including property and casualty, life, health, and employee benefits insurance.","first bancorp Insurance Offers various insurance products, including property and casualty, life, health, and employee benefits insurance.",Not Applicable
239,biontech se,Small molecule immunomodulators,Novel small molecule compounds that modulate immune responses for cancer and autoimmune diseases,biontech se Small molecule immunomodulators Novel small molecule compounds that modulate immune responses for cancer and autoimmune diseases,Not Applicable
2288,hertz global holdings inc.,International RAC,"Rental and leasing of vehicles, as well as sales of value-added services, internationally.","hertz global holdings inc. International RAC Rental and leasing of vehicles, as well as sales of value-added services, internationally.",Transport Solutions
2753,enovis corporation,Interventional Solutions,"Provides products used in interventional procedures for minimally invasive surgeries. Includes ablation devices, vascular intervention devices, biopsy devices, and drainage catheters.","enovis corporation Interventional Solutions Provides products used in interventional procedures for minimally invasive surgeries. Includes ablation devices, vascular intervention devices, biopsy devices, and drainage catheters.",Not Applicable
2166,fifth third bancorp,Branch Banking,"Operates over 1,100 full-service banking centers in 10 states, providing deposit, lending, and wealth management services to consumers and small businesses","fifth third bancorp Branch Banking Operates over 1,100 full-service banking centers in 10 states, providing deposit, lending, and wealth management services to consumers and small businesses",Not Applicable
5466,paragon banking group plc,Mortgages,"Specialized lending for buy-to-let landlords, residential and commercial mortgages","paragon banking group plc Mortgages Specialized lending for buy-to-let landlords, residential and commercial mortgages",Not Applicable
